tweet,sarcasm,sentiment,dialect
"""@Yaqoobzz حاليا نوفاك قبله نادال قبلهم فيدرر الافضل على الاطلاق""",FALSE,POS,msa
#اليوم_العالمي_للغة_العربية يفترض لها كل يوم وكل ساعة؟ لغة القرآن الذي نتلوه يوميا لغة التعليم المدرسي لغة العبادات لغة امة الخير,FALSE,POS,msa
يا رب,FALSE,POS,msa
"""#ليبيا | #عاجل: إشتباكات مسلحة بالقرب من فندق #ريكسوس بالعاصمة #طرابلس.""",FALSE,NEU,msa
منع حازم عبد العظيم والسيد البدوى اكبر انصار الانقلاب العسكرى من السفر يمثل تطبيقا لمبدأ صاحب الحمير اضرب المربوط يخاف السائر,TRUE,NEG,msa
زمان كنت اغرد في السياسه وقالوا قديما السياسه نجاسه الحمد لله اني تطهرت من تلك النجاسه #معكم_أدهم #مصر #التحرير # #مرسي_رئيسي #السيسي,FALSE,NEG,egypt
"""RT @W00LF101: اللهم أنتقم منالَّذِينَ طَغَوْا فِي الْبِلَادوأرحمِالَّذِينَ أُخْرِجُوا مِن دِيَارهم بِغَيْرِ حَقٍّ#حلب_المنكوبة https://…""",FALSE,NEG,msa
"""#ماذا_لو_المدارس_مختلطهعزيزي المعلم لاتتهاون برصد ومحاسبة الطالب على أي شي مخالف للوائح السلوك والمواظبة..تطبيقها يجعل البيئة المدرسة👍👍👍""",FALSE,POS,egypt
"""@saadhariri كلما شاهدت طاوله الشطرنج الجميله التي تزين غرفه اجتماعاتك في بيت الوسط. اتحمس ان اشاطرك المباراه الوديه يا شيخ.. انا مبتدئه فقط""",FALSE,POS,msa
"""خطاب بوب ديلان في حفل نوبل كان لماح جدا خاصة في علاقة شكسبير بالأدب واللي خلاني افتكر كلام تولستوي عن السينما لما... https://t.co/yDxijzARWi""",FALSE,NEU,egypt
"""الجزيرة.نت: #وتبقى_مآذن_القدس تصدح بالأذان... #إسرائيل #القدس https://t.co/f4ebF4PaxH https://t.co/O9elqpn0tO""",FALSE,NEU,msa
@LUHG18LUHG هذه حدثت في عهد ابن همام في عام ٢٠١١وبحث بسيط عبر غوغل ستجد الكثير والكثير! https://t.co/6HgVsydUO3,FALSE,NEU,msa
"""RT @KaramAlhafidh: #هيج_و اصير وزيرة الصحة إلا اشنق عديلة بباب المعظم يم البوكي ستوب حتى الي يدور على بوكيمون يشوف عديله ويجوز من اللعبه""",TRUE,NEU,egypt
"""قال رسول الله ﷺ(أيما عبد أبق، فقد برئت منه الذمة) رياض الصالحين #ريال_مدريد""",FALSE,NEU,msa
#العرص فى #نيويورك,FALSE,NEG,egypt
"""أحصل الآن على دورة تدريبية مجانية في مجال الصحافة من فيسبوك في ظل مساعي شركة فيسبوك في جعل جميع المستخدمين... https://t.co/vvjTNEJWZK""",FALSE,NEU,egypt
"""#أوبر الان بالقصيم#بريدة@Uber_KSA""",FALSE,NEU,msa
"""Retweeted الخارجية الأمريكية (@USAbilAraby):#كيري: أطالب كل الأطراف بالالتزام بوقف الأعمال العدائية الذي سيسمح... https://t.co/prdtlHXXQY""",FALSE,NEU,msa
#اللحية_البيضاء#ون_بيسلوفي ما رحم الوايت بيرد 😂😂😂💔 https://t.co/B9D23t9tXV,FALSE,NEU,msa
إنسان أيا إنسان ما أجهلك ما اتفهك في الكون وما أضألك شمس وقمر وسدوم وملايين نجوم وفاكرها يا موهوم مخلوقة لك عجبي! #صلاح_جاهين,TRUE,NEG,egypt
"""كيف تلعب أول لعبة ماريو مخصصة لأجهزة آيفون؟ https://t.co/jzeMgpF5An عبر @AbuNawafNet #SuperMarioRun""",FALSE,NEU,msa
"#محافظ_القاهرة: إزالة العقارات المخالفة بالقرب من ""#المحكمة_الدستورية"" لحماية المواطنين",FALSE,POS,msa
"""رامى عياش عملى لايك على اغنيته 😍🙌 https://t.co/TbFxcQlmfQ""",FALSE,POS,egypt
"""@140041Saud الرياض حي الواحةتقاطع شارع رفحاء مع طريق ابوبكر الصديق.موقعنا عبر خرائط جوجل:https://t.co/7nNz2nyzuB""",FALSE,NEU,egypt
لو أنت من الناس اللي لم تؤيد أو تسكت عن ظلم أو فشل سواء في فترات #مبارك أو #المجلس_العسكري و #مرسي و #السيسي، قول,FALSE,NEU,msa
الهجوم المتوقع على كرداسة متى يتوقفون عن قتل الاحرار؟ الانقلاب يمارس ويزرع الارهاب,FALSE,NEG,msa
"""جمال الليل في نظرة عيونك ،، ونور البدر مرسوم بجفونكوكل الكون ما يسوي يا نادين بدونك😘😘😍😍الله يحميكي ندووون… https://t.co/EhLbileeqD""",FALSE,POS,msa
عندي ثقة فيك..,FALSE,POS,msa
"""وزير الخارجية المصري يصل مقر الجامعة العربية ويليه وزير الخارجية الفلسطيني ليبدأ اجتماع اللجنة العربية المعنية بإنهاء الاحتلال الإسرائيلي""",FALSE,NEU,msa
"""اشرايج ف ج-ز؟؟ انييبه بس عشان يغني ٩٩ مشكله ولا يغني مع بيونسيه !!! https://t.co/8bn15JE19W""",TRUE,NEG,gulf
"""“ديلى ميل”: ترامب سينقل السفارة الأمريكية من “تل أبيب” إلى #القدس  https://t.co/4WlWa1M97X""",FALSE,NEU,msa
ثأر #سيد_بلال وغيره سيلاحققك أيها الأفاق #برهامى #شيوخ_السلاطين #تجار_دين,TRUE,NEG,msa
"""كيف تشكلت صورة السعودي لدى الإعلام الغربي؟ وما هو الدور الذي كان يؤديه مرتزقة الإعلام؟تتبع المال يكشف حقيقة هذه المساعي #فضيحة_تركي_الدخيل""",TRUE,NEG,msa
"""التحكم المروري: حركة المرور كثيفة من اوتوستراد زوق مكايل باتجاه مفرق غزير وصولا الى كازينو لبنان من دون عوائق https://t.co/JxFALrMc98""",FALSE,NEU,msa
"""RT @MouhamedSaber: تظاهرات أحوازية ضد إيران لمصادرتها أراضي جديدة بالجنوب https://t.co/MsvYWMFDHD""",FALSE,NEU,msa
الطبرسي يطابق المفيد في نفي وجود المحسن#الصرخي_يغرد_ولايةالفقيه_ولايةالطاغوت#حادثه_الدار_اثاره_عواطف_وجهلhttps://t.co/OyUcXlGHa4 https://t.co/UGYlOnSVDP,TRUE,NEG,msa
"استمرار مأساة غرق شبابنا في محاولات يائسة سعيا وراء ""لقمة العيش""ما هي أسبقياتنا وأين نحن من أهداف الثورة : عيش،حرية،كرامة إنسانية ؟",FALSE,NEG,msa
#الجيزة #مصر_مش_تكيه الفاعلية الثالثه لاحرار اكتوبر امام سنترال الحى السادس,TRUE,NEU,egypt
"""دوت مصر/ كامل الوزير ل «#عمرو_أديب»: ""الرئيس أمر بإنهاء إنشاءات محطة #أسوان"" التفاصيل ... - عبر نبض @NabdApp https://t.co/HJphSWS2GV""",FALSE,NEU,egypt
لو إستمر مرسي في سياسة العناد الفاشلة سيكون الفرق الوحيد بينه وبين المخلوع مبارك أنه لا يحب أن يقضي أجازته في شرم الشيخ، على الأقل حتى الآن,TRUE,NEG,egypt
"""RT @News_ajell: اكثر من 30 غارة جوية من الطيران الروسي على عدة احياء مدينة حلب وسقوط 30 شهيدا و 60 جريحا ! ومازال الدفاع المدني يعمل على ان…""",FALSE,NEU,egypt
"""RT @rabaaaa18: خليفتنا #أردوغان رضى الله عنه ينام على الهواء خلال كلمة بوتين فى مؤتمر مشترك بإسطنبول وخبيريؤكد ان فخامته مرهق من شدة العمل…""",FALSE,NEG,msa
RT @torshany: اعلان غوغل #GoogleMaps دليلك لحرب المناطق والشوارع والأحياء في #ليبيا,FALSE,NEG,levant
"""أرسل المغني بوب ديلان الفائز بجائزة نوبل للأدب رسالة  يشكر فيها الأكاديمية السويدية و وصف هذا المنح بأنه شرف يضاهي ""الوقوف فوق القمر""""",FALSE,NEU,msa
القبض على المتحدث باسم حزب #الحرية_والعدالة #محمد_ع,FALSE,NEU,msa
"""@Bader_hilal @rslfi مسرحية سيد قطب نفس مسرحية صدام الإعلام الغربي بأشكاله يريد تثبيت صورة متلبسين الإسلام بصورة المخلص فلا تكن فريسة للغرب""",FALSE,NEG,msa
"""أعجبني فيديو @YouTube على https://t.co/GQuYJAByIV أدمان لعبة بوكيمون قو || Addicted to Pokemon Go""",FALSE,NEU,msa
"""ستون عاماً وفي لبنان أخوة لاجئين فلسطينيين، ولم يكن لهم وزيراً لشؤونهم!لكن الأخوة النازحين السوريين حظهم مع الحكومة نار#نخترع_وزارة_لوزير""",TRUE,NEG,levant
"""#اليمنية| “ #الناتو” واثق من حفاظ “ #ترامب” علي قيادة #الولايات_المتحدة للحلفhttps://t.co/srNYlVI56k""",FALSE,NEU,msa
"""#الولايات_المتحدة احتجاز صحفى كندى كان يتجه لموقع الاحتجاجات على مد خط البترول فى نورث الولايات المتحدةداكوتا لمدة6 ساعات يثير المخ… https://t.co/eUfMEYMV2n""",FALSE,NEU,msa
"""اللهم عليك بالظالمين #لافروف""",FALSE,NEU,msa
تدهور الحالة الصحيّة لعائلات شهداء وجرحى #الثورة المضربين عن الطعام,FALSE,NEG,msa
"""الي يبا يشوف #MannequinChallenge الصدقي يشوفني يوم اكون وسط ناس مادانيهم🙂🙃💐💐💐""",FALSE,NEU,levant
"""#عمرو_أديب: #أردوغان بيصوت و #تركيا بتسف التراب الاسبوع دهhttps://t.co/QEO6p3n8zw هههههههههههههه حرقاك يا أقرع""",TRUE,NEG,egypt
ﻭﻓﺄﻯ ﻣﻜﺎﻥ ﻭ ﻓﺄﻯ ﺯﻣﺎﻥ ﺑﻘﻮﻟﻬﺎ ﻟﻴﻚ ﻭ ﺑﺎﻋﻠﻰ ﺻﻮﺕ ﻏﻴﺮﻙ ﻣﻠﻴﺶ ﻋﺸﺎﻥ ﺍﻋﻴﺶ #ﺍﻻﻫﻠﻰ فى قلبى ﻟﺤﺪ ما #أموووووت,FALSE,POS,egypt
مدفن القاهرة للعدالة ماذا يحدث الآن فى مطار القاهرة ، الشرطة تمنع أوائل الحقوق ! وترحب وتفسح للمتأخرين الفاشلين,TRUE,NEG,msa
"""@kinda18 لو شاطرة تفهمها او تروح للشيخ غوغل يترجمها بأهبل من هيك 😂😂😂😂""",TRUE,NEU,egypt
باﻷحضان يا غالية #الجونة,FALSE,POS,egypt
"""من قايل لجراح الهبيده انك حلو ؟ والله يا معطي نفسه وضعيه جستن بيبر بسنابه 😂""",TRUE,NEG,gulf
"""طبت طيب أوردوغان والله لا ينفع مع الأوغاد الإيرانيين أو الروس أو السوريين إلا التهديدبالقصف الجوي والأرضي إن اعتدوا على النازحين السوريين..""",FALSE,POS,msa
"""#مباشر_من_رابعة|#ستبقي_حلب#شاهد طفل سوري يلقي قصيدة مؤثرة وهو يبكي فليذكر التاريخ .. أعداد الصواريخ .. تقتل... https://t.co/ZPZS9jikYz""",FALSE,NEG,msa
لاتسأليني ليييش عن رجمي نزلتذيب الخلا لاجااااع عن رجمه نزلعن الغزل وسماان الأفكار اعتزلتكل شي في عيني  بعد غبتي هزل,FALSE,NEG,gulf
"""#موسكو: استئناف #المفاوضات السورية في #كازاخستان ""أمر واقعي""https://t.co/ZhtM61wRt2#ميخائيل_بوغدانوف… https://t.co/MNTCId6984""",FALSE,NEU,msa
"""طريقة تعطيل محرك البحث بينج في ويندوز 10 https://t.co/gcEvv741Nx""",FALSE,NEU,msa
جيش السيسي يهدم بيوتنا؛ لإقامة منطقة عازلة بين سيناء وغزة أين أقنية التصهين؟ لا ورواري العربية يلطم، ولا منتهاه,TRUE,NEG,msa
"ما شاء الله ""متخذين كامل الإجراءات الصحية"" آخر شي النطرة عبارة عن لعبة الكراسي",FALSE,NEU,levant
"""RT @mh_awadi: #مصر في الأخبار :أغذية ملوثةأكل لحوم الحميرإعتقالات قسريةقتل بلا محاكمةحرب على الإسلامتحالف مع سفاحي #حلبطعن في ظهر #…""",TRUE,NEG,egypt
"""#جريدة_الميدان | #الناتو""الناتو"": ضباط أتراك طلبوا اللجوء وعدم العودة إلى أنقرة... https://t.co/hCejJaGMJ6""",FALSE,NEU,msa
ابتسم في وجه الناس فإنها صدقة,FALSE,POS,msa
RT @mstr_federer: @fed89erer عالم الكرة الصفراء كان يتيماً حتى جاء فيدرر و اخرج جمال هذه الرياضة للعالم,FALSE,POS,msa
"""نوال الزغبي شو بتعملي ؟؟""",FALSE,NEU,levant
"""RT @3beer_RMA: ديميتروف إلى هذا الحد 😐استطاع التغلب على:نادالجوكوفيتشمورايفافرينكالكن لم يستطع التغلب على الذي علمه السحرروووووجير…""",TRUE,NEU,msa
"""احتفالات الدون على طريقة #MannequinChallenge""",FALSE,NEU,egypt
"""في الوقت اللي يجتاح فيه اليمين المتطرف أوروبا وترامب أمريكا والعالم ، يتم تعيين ملحد يبت في أمور المسلمين .!! . #اول_لاديني_بمجلس_الشوري""",TRUE,NEG,levant
"""@Fk999Dir @zaiedkhaled @Almadinanews النظام الصحي الأمريكي يحرم أكثر من 13 مليون أمريكي من العلاج https://t.co/osLJ0PdYnE""",FALSE,NEU,msa
"""https://t.co/Uuc06a65Q6 – نجوم مصرية : تاريخ مباراة السعودية واليابان القادمة فى تصفيات كاس العالم https://t.co/qK9sQShIK0""",FALSE,NEU,msa
"""طيرانُ العدوان يشُنُّ سلسلةَ غاراتٍ على عددٍ من محافظات الجمهورية https://t.co/LebqKMpx84 #اليمن #نجران https://t.co/P5vZlRvbVR""",FALSE,NEU,msa
كل شي بيرفكتتت حرفيا,FALSE,POS,egypt
"أيمن يونس يؤكد:الزمالك لا يشارك فى دورة فى قطر لموقفها من مصر, حكومتك يا كابشن بتتفاوض مع قطر عشان تشحت غاز",FALSE,NEG,egypt
"""ثلوج متوقعة على المناطق الشمالية والجوف فجر الثلاثاء #طقس_العرب""",FALSE,NEU,msa
"""ريكي مارتن بعد حريم العالم كلها اللي قدامو اختار انه يخطب جوان . جوان دا واحد من اصول عربية . وانا اللي كنت فاكرك نينجا 😂 طلعت ....""",TRUE,NEG,egypt
#باسم_طلع_حرامي ===== #عاشق_مصر,TRUE,NEG,egypt
"""اطمنوا ايها النبلاء #تعز بخير فقط روايح جثث الحوثي والمخلوع أزعجت الساكنين حتى الكلاب ترفض لحومهم النجسه🔴التكبير من فوق جبل هان الان #اليمن""",TRUE,NEG,msa
"""#اليمنية| تعيين #عبدالواحد_الدعام عضواً في مجلس الشورىhttps://t.co/3vJFX4rysH#التحالف_العربي_سند_اليمن#جنود_التحالف_سند_لليمن""",FALSE,NEU,msa
"""ديوان الوقف السني يقيم احتفالية بمناسبة ذكرى المولد النبوي الشريف في مخيم حي الجامعة للنازحين https://t.co/fCs0S6eDUj""",FALSE,NEU,msa
"""#روسيا و #الصين تستخدمان حق #الفيتو وتفشلان #هدنة #حلب #سوريا#تمدن https://t.co/KOsduLsP3z""",FALSE,NEU,msa
لولا لغة السي لبرمجة الحاسوب ماكان فيه كومبيوترات اساسا .. مات مكتشف اللغة العظيمة ولا احد طق له خبر !  ,FALSE,NEG,msa
يونجون هنا؟! بكييت لاا https://t.co/sRVxRfh1YJ,FALSE,NEU,msa
"""#اليمنية| 18 شهيدا و27 مصابا في #خروقات_الإنقلابيين بتعز خلال 24 ساعةhttps://t.co/DMa8xnikF3#التحالف_العربي_سند_اليمن""",FALSE,NEU,msa
"""لاول مرة منذ 13 عام يكون روجر فيدرر و رافا نادال خارج المراكز الاربعه الاولى في تصنيف الاتحاد العالمي للتنس !! https://t.co/4SRCvXnX5L""",FALSE,NEU,msa
"""RT @A822822A: ياروافض بلا كلام وإلا سوف أخرج♦️♦️#العراق #بغداد #البصره #كربلاء #النجف #لبنان #البحرين #الكويت #قطر #سوريا #عمان #الأردن ht…""",TRUE,NEG,msa
#سيدنا_النبي كان طيب الرائحة، وإذا صافحه أحد ظل بيده عطره سائر اليوم صلى الله عليك يا سيدي يا رسول الله,FALSE,POS,msa
